Image_Layer,Total Flux_p/s,Avg Radiance_p/s/cmsq/sr,Stdev_Radiance,Min_Radiance,Max_Radiance,ROI_Label,Comment1,Comment2,Mouse_ID,Organ,Expt,Infection_1,Infection_2,time_point_from_reinf,mouse_sex,bkrd,flux_minus_bkrd
Overlay,1.90E+04,8.38E+02,1.13E+03,-2.41E+03,3.72E+03,Control spleen,control M8 +M11,ex vivo 30 sec,Control,Spleen,Con,NA,NA,NA,Female,,
Overlay,1.33E+05,9.92E+03,1.78E+04,-2.83E+03,1.23E+05,M8 Lung,control M8 +M11,ex vivo 30 sec,M8,Lung,2,luc,none,NA,Female,,
Overlay,3.04E+05,2.28E+04,5.44E+04,-2.65E+03,2.64E+05,M8 LN,control M8 +M11,ex vivo 30 sec,M8,LN,2,luc,none,NA,Female,,
Overlay,2.80E+07,2.26E+05,1.86E+05,-2.82E+03,6.92E+05,M8 Liver,control M8 +M11,ex vivo 30 sec,M8,Liver,2,luc,none,NA,Female,,
Overlay,7.11E+06,1.11E+05,1.37E+05,-2.65E+03,5.72E+05,M8 Spleen,control M8 +M11,ex vivo 30 sec,M8,Spleen,2,luc,none,NA,Female,,
Overlay,3.39E+04,1.06E+03,1.54E+03,-3.86E+03,4.71E+03,Control Lung,control M8 +M11,ex vivo 30 sec,Control,Lung,Con,NA,NA,NA,Female,,
Overlay,8.68E+04,2.05E+03,2.27E+03,-3.73E+03,1.24E+04,Control Liver,control M8 +M11,ex vivo 30 sec,Control,Liver,Con,NA,NA,NA,Female,,
Overlay,1.41E+04,7.46E+02,1.09E+03,-2.25E+03,2.79E+03,Control LN,control M8 +M11,ex vivo 30 sec,Control,LN,Con,NA,NA,NA,Female,,
Overlay,1.43E+07,3.06E+05,5.81E+05,-2.25E+03,3.46E+06,M11 Spleen,control M8 +M11,ex vivo 30 sec,M11,Spleen,2,luc,barcodes,d14,Female,,
Overlay,1.16E+05,5.23E+03,1.26E+04,-3.25E+03,9.25E+04,M11 LN,control M8 +M11,ex vivo 30 sec,M11,LN,2,luc,barcodes,d14,Female,,
Overlay,1.59E+07,1.53E+05,1.45E+05,-2.39E+03,6.03E+05,M11 Liver,control M8 +M11,ex vivo 30 sec,M11,Liver,2,luc,barcodes,d14,Female,,
Overlay,1.67E+05,2.10E+03,4.04E+03,-4.41E+03,3.97E+04,M11 Lung,control M8 +M11,ex vivo 30 sec,M11,Lung,2,luc,barcodes,d14,Female,,
Overlay,5.87E+07,7.17E+05,1.03E+06,-7.40E+02,4.31E+06,M5 Spleen,M5 M6 +M7,ex vivo 30 sec,M5,Spleen,2,luc,none,NA,Female,,
Overlay,3.79E+05,8.37E+03,1.27E+04,-2.66E+03,1.25E+05,M6 Lung,M5 M6 +M7,ex vivo 30 sec,M6,Lung,2,luc,none,NA,Female,,
Overlay,1.51E+05,5.71E+03,1.55E+04,-3.39E+03,1.31E+05,M6 LN,M5 M6 +M7,ex vivo 30 sec,M6,LN,2,luc,none,NA,Female,,
Overlay,1.21E+07,1.00E+05,1.11E+05,-3.81E+03,4.81E+05,M6 Liver,M5 M6 +M7,ex vivo 30 sec,M6,Liver,2,luc,none,NA,Female,,
Overlay,1.15E+07,1.39E+05,2.09E+05,-2.11E+03,8.59E+05,M6 Spleen,M5 M6 +M7,ex vivo 30 sec,M6,Spleen,2,luc,none,NA,Female,,
Overlay,6.73E+05,2.24E+04,2.96E+04,-2.44E+03,1.73E+05,M5 Lung,M5 M6 +M7,ex vivo 30 sec,M5,Lung,2,luc,none,NA,Female,,
Overlay,9.83E+07,1.13E+06,1.18E+06,8.20E+02,4.12E+06,M5 Liver,M5 M6 +M7,ex vivo 30 sec,M5,Liver,2,luc,none,NA,Female,,
Overlay,7.85E+05,4.14E+04,9.41E+04,-1.54E+03,5.57E+05,M5 LN,M5 M6 +M7,ex vivo 30 sec,M5,LN,2,luc,none,NA,Female,,
Overlay,5.99E+04,1.33E+03,3.80E+03,-4.34E+03,4.96E+04,M7 Spleen,M5 M6 +M7,ex vivo 30 sec,M7,Spleen,2,luc,none,NA,Female,,
Overlay,2.37E+04,1.18E+03,3.80E+03,-5.68E+03,2.69E+04,M7 LN,M5 M6 +M7,ex vivo 30 sec,M7,LN,2,luc,none,NA,Female,,
Overlay,7.44E+04,1.22E+03,1.91E+03,-4.89E+03,8.24E+03,M7 Liver,M5 M6 +M7,ex vivo 30 sec,M7,Liver,2,luc,none,NA,Female,,
Overlay,2.89E+04,7.18E+02,1.45E+03,-3.06E+03,4.96E+03,M7 Lung,M5 M6 +M7,ex vivo 30 sec,M7,Lung,2,luc,none,NA,Female,,
Overlay,1.06E+07,1.41E+05,2.10E+05,-4.03E+03,1.02E+06,M9 Spleen,M9 M10 +M12,ex vivo 30 sec,M9,Spleen,2,luc,barcodes,d14,Female,,
Overlay,4.70E+05,2.07E+04,2.45E+04,-2.19E+03,1.49E+05,M10 Lung,M9 M10 +M12,ex vivo 30 sec,M10,Lung,2,luc,barcodes,d14,Female,,
Overlay,4.29E+05,2.96E+04,4.71E+04,-2.13E+02,2.33E+05,M10 LN,M9 M10 +M12,ex vivo 30 sec,M10,LN,2,luc,barcodes,d14,Female,,
Overlay,3.85E+07,3.11E+05,3.49E+05,-1.59E+03,1.66E+06,M10 Liver,M9 M10 +M12,ex vivo 30 sec,M10,Liver,2,luc,barcodes,d14,Female,,
Overlay,2.90E+07,4.03E+05,5.79E+05,-1.40E+03,3.11E+06,M10 Spleen,M9 M10 +M12,ex vivo 30 sec,M10,Spleen,2,luc,barcodes,d14,Female,,
Overlay,3.19E+05,9.95E+03,1.49E+04,-3.22E+03,8.01E+04,M9 Lung,M9 M10 +M12,ex vivo 30 sec,M9,Lung,2,luc,barcodes,d14,Female,,
Overlay,1.55E+07,1.67E+05,1.58E+05,-1.30E+03,8.16E+05,M9 Liver,M9 M10 +M12,ex vivo 30 sec,M9,Liver,2,luc,barcodes,d14,Female,,
Overlay,3.63E+05,1.81E+04,4.36E+04,-2.68E+03,2.49E+05,M9 LN,M9 M10 +M12,ex vivo 30 sec,M9,LN,2,luc,barcodes,d14,Female,,
Overlay,8.40E+07,1.07E+06,2.08E+06,1.56E+03,1.20E+07,M12 Spleen,M9 M10 +M12,ex vivo 30 sec,M12,Spleen,2,luc,barcodes,d14,Female,,
Overlay,6.96E+05,3.47E+04,7.74E+04,-4.93E+02,4.53E+05,M12 LN,M9 M10 +M12,ex vivo 30 sec,M12,LN,2,luc,barcodes,d14,Female,,
Overlay,1.44E+08,8.33E+05,9.80E+05,1.02E+03,5.13E+06,M12 Liver,M9 M10 +M12,ex vivo 30 sec,M12,Liver,2,luc,barcodes,d14,Female,,
Overlay,1.75E+06,5.60E+04,5.48E+04,-1.19E+02,2.52E+05,M11 Lung,M9 M10 +M12,ex vivo 30 sec,M11,Lung,2,luc,barcodes,d14,Female,,
Overlay,2.47E+04,1.09E+03,1.46E+03,-2.95E+03,5.14E+03,Control2 Spleen,con M13 +M17,ex vivo 30 sec,Control2,Spleen,Con,NA,NA,NA,Female,,
Overlay,1.05E+05,4.74E+03,7.26E+03,-1.03E+03,3.97E+04,M13 Lung,con M13 +M17,ex vivo 30 sec,M13,Lung,3,barcodes,luc,d14,Female,,
Overlay,3.79E+04,1.52E+03,2.20E+03,-2.87E+03,1.34E+04,M13 LN,con M13 +M17,ex vivo 30 sec,M13,LN,3,barcodes,luc,d14,Female,,
Overlay,2.21E+07,2.00E+05,1.91E+05,-1.61E+03,8.54E+05,M13 Liver,con M13 +M17,ex vivo 30 sec,M13,Liver,3,barcodes,luc,d14,Female,,
Overlay,1.23E+06,1.99E+04,3.38E+04,-2.45E+03,2.17E+05,M13 Spleen,con M13 +M17,ex vivo 30 sec,M13,Spleen,3,barcodes,luc,d14,Female,,
Overlay,3.03E+04,1.01E+03,1.84E+03,-4.72E+03,6.36E+03,Control2 Lung,con M13 +M17,ex vivo 30 sec,Control2,Lung,Con,NA,NA,NA,Female,,
Overlay,1.37E+05,1.71E+03,2.16E+03,-3.07E+03,1.25E+04,Control2 Liver,con M13 +M17,ex vivo 30 sec,Control2,Liver,Con,NA,NA,NA,Female,,
Overlay,7.33E+03,4.30E+02,9.45E+02,-2.82E+03,3.11E+03,Control2 LN,con M13 +M17,ex vivo 30 sec,Control2,LN,Con,NA,NA,NA,Female,,
Overlay,6.58E+05,2.52E+04,3.26E+04,-2.73E+03,1.93E+05,M16 Spleen,con M13 +M17,ex vivo 30 sec,M16,Spleen,3,barcodes,luc,d14,Female,,
Overlay,3.20E+04,1.54E+03,3.38E+03,-2.74E+03,2.13E+04,M16 LN,con M13 +M17,ex vivo 30 sec,M16,LN,3,barcodes,luc,d14,Female,,
Overlay,1.42E+07,1.37E+05,1.56E+05,-2.52E+03,1.01E+06,M16 Liver,con M13 +M17,ex vivo 30 sec,M16,Liver,3,barcodes,luc,d14,Female,,
Overlay,1.27E+05,2.88E+03,5.21E+03,-3.07E+03,3.64E+04,M16 Lung,con M13 +M17,ex vivo 30 sec,M16,Lung,3,barcodes,luc,d14,Female,,
Overlay,1.53E+06,3.06E+04,5.60E+04,-1.81E+03,3.48E+05,M14 spleen,M14 M15+M17,ex vivo 30 sec,M14,Spleen,3,barcodes,luc,d14,Female,,
Overlay,1.37E+05,3.06E+03,3.88E+03,-3.82E+03,3.45E+04,M15 Lung,M14 M15+M17,ex vivo 30 sec,M15,Lung,3,barcodes,luc,d14,Female,,
Overlay,3.40E+04,1.46E+03,1.70E+03,-2.16E+03,9.29E+03,M15 LN,M14 M15+M17,ex vivo 30 sec,M15,LN,3,barcodes,luc,d14,Female,,
Overlay,1.02E+06,9.30E+03,9.78E+03,-3.34E+03,6.32E+04,M15 Liver,M14 M15+M17,ex vivo 30 sec,M15,Liver,3,barcodes,luc,d14,Female,,
Overlay,1.73E+05,1.98E+03,1.92E+03,-2.92E+03,1.20E+04,M15 Spleen,M14 M15+M17,ex vivo 30 sec,M15,Spleen,3,barcodes,luc,d14,Female,,
Overlay,1.26E+05,3.94E+03,5.92E+03,-2.88E+03,2.99E+04,M14 Lung,M14 M15+M17,ex vivo 30 sec,M14,Lung,3,barcodes,luc,d14,Female,,
Overlay,1.50E+07,1.35E+05,1.92E+05,-4.10E+03,1.47E+06,M14 Liver,M14 M15+M17,ex vivo 30 sec,M14,Liver,3,barcodes,luc,d14,Female,,
Overlay,3.52E+04,1.86E+03,2.81E+03,-2.41E+03,1.85E+04,M14 LN,M14 M15+M17,ex vivo 30 sec,M14,LN,3,barcodes,luc,d14,Female,,
Overlay,3.12E+07,1.03E+06,1.92E+06,2.54E+03,8.92E+06,M17 Spleen,M14 M15+M17,ex vivo 30 sec,M17,Spleen,3,none,luc,NA,Female,,
Overlay,3.97E+05,2.09E+04,5.44E+04,-1.94E+03,3.18E+05,M17 LN,M14 M15+M17,ex vivo 30 sec,M17,LN,3,none,luc,NA,Female,,
Overlay,4.63E+08,4.22E+06,4.55E+06,3.26E+02,1.95E+07,M17 Liver,M14 M15+M17,ex vivo 30 sec,M17,Liver,3,none,luc,NA,Female,,
Overlay,1.59E+06,3.10E+04,5.26E+04,-2.03E+03,2.49E+05,M17 Lung,M14 M15+M17,ex vivo 30 sec,M17,Lung,3,none,luc,NA,Female,,
Overlay,6.51E+06,1.64E+05,3.66E+05,-1.69E+03,1.89E+06,M18 Spleen,M18 M19+M20,ex vivo 30 sec,M18,Spleen,3,none,luc,NA,Female,,
Overlay,8.39E+05,1.82E+04,2.83E+04,-2.24E+03,1.72E+05,M19 Lung,M18 M19+M20,ex vivo 30 sec,M19,Lung,3,none,luc,NA,Female,,
Overlay,3.34E+05,2.50E+04,4.25E+04,-1.01E+03,2.02E+05,M19 LN,M18 M19+M20,ex vivo 30 sec,M19,LN,3,none,luc,NA,Female,,
Overlay,1.23E+08,9.93E+05,1.36E+06,-8.47E+02,5.89E+06,M19 Liver,M18 M19+M20,ex vivo 30 sec,M19,Liver,3,none,luc,NA,Female,,
Overlay,1.22E+07,2.69E+05,5.54E+05,-2.56E+03,2.60E+06,M19 Spleen,M18 M19+M20,ex vivo 30 sec,M19,Spleen,3,none,luc,NA,Female,,
Overlay,5.07E+05,8.74E+03,1.43E+04,-2.82E+03,8.72E+04,M18 Lung,M18 M19+M20,ex vivo 30 sec,M18,Lung,3,none,luc,NA,Female,,
Overlay,1.85E+08,1.39E+06,1.59E+06,-2.11E+03,6.08E+06,M18 Liver,M18 M19+M20,ex vivo 30 sec,M18,Liver,3,none,luc,NA,Female,,
Overlay,2.61E+05,1.38E+04,2.47E+04,-1.10E+03,1.43E+05,M18 LN,M18 M19+M20,ex vivo 30 sec,M18,LN,3,none,luc,NA,Female,,
Overlay,4.23E+04,9.04E+02,1.68E+03,-3.63E+03,8.65E+03,M20 Spleen,M18 M19+M20,ex vivo 30 sec,M20,Spleen,3,none,luc,NA,Female,,
Overlay,3.26E+04,9.01E+02,2.09E+03,-2.99E+03,1.70E+04,M20 LN,M18 M19+M20,ex vivo 30 sec,M20,LN,3,none,luc,NA,Female,,
Overlay,2.11E+05,2.04E+03,2.37E+03,-3.57E+03,1.91E+04,M20 Liver,M18 M19+M20,ex vivo 30 sec,M20,Liver,3,none,luc,NA,Female,,
Overlay,1.98E+04,5.20E+02,1.72E+03,-3.88E+03,6.16E+03,M20 Lung,M18 M19+M20,ex vivo 30 sec,M20,Lung,3,none,luc,NA,Female,,
Overlay,1.59E+04,1.82E+02,1.91E+02,-3.13E+02,1.03E+03,Control1 BM,control M8 +M11,ex vivo 5 min,Control1,BM,Con,NA,NA,NA,Female,,
Overlay,1.11E+04,1.38E+02,1.61E+02,-3.56E+02,8.79E+02,Control1 Gut,control M8 +M11,ex vivo 5 min,Control1,Gut,Con,NA,NA,NA,Female,,
Overlay,8.25E+04,6.49E+02,1.18E+03,-2.67E+02,1.53E+04,M11 BM,control M8 +M11,ex vivo 5 min,M11,BM,2,luc,barcodes,d14,Female,,
Overlay,1.82E+05,7.75E+02,2.05E+03,-4.81E+02,3.42E+04,M8 BM,control M8 +M11,ex vivo 5 min,M8,BM,2,luc,none,NA,Female,,
Overlay,1.87E+04,6.00E+02,8.62E+02,-2.86E+02,5.05E+03,M8 Gut,control M8 +M11,ex vivo 5 min,M8,Gut,2,luc,none,NA,Female,,
Overlay,1.26E+04,3.33E+02,5.99E+02,-2.73E+02,6.56E+03,M11 Gut,control M8 +M11,ex vivo 5 min,M11,Gut,2,luc,barcodes,d14,Female,,
Overlay,1.78E+06,1.77E+04,6.29E+04,-3.12E+02,6.95E+05,M5 BM,M5 M6 +M7,ex vivo 30 sec,M5,BM,2,luc,none,NA,Female,,
Overlay,6.59E+04,8.70E+02,1.54E+03,-4.11E+02,1.24E+04,M5 Gut,M5 M6 +M7,ex vivo 30 sec,M5,Gut,2,luc,none,NA,Female,,
Overlay,2.07E+04,2.64E+02,2.40E+02,-2.29E+02,1.52E+03,M7 BM,M5 M6 +M7,ex vivo 30 sec,M7,BM,2,luc,none,NA,Female,,
Overlay,2.26E+05,2.31E+03,6.06E+03,-3.14E+02,6.97E+04,M6 BM,M5 M6 +M7,ex vivo 30 sec,M6,BM,2,luc,none,NA,Female,,
Overlay,9.30E+04,2.98E+03,4.65E+03,-1.20E+02,2.91E+04,M6 Gut,M5 M6 +M7,ex vivo 30 sec,M6,Gut,2,luc,none,NA,Female,,
Overlay,2.64E+04,4.06E+02,4.94E+02,-1.86E+02,3.06E+03,M7 Gut,M5 M6 +M7,ex vivo 30 sec,M7,Gut,2,luc,none,NA,Female,,
Overlay,3.94E+05,4.69E+03,1.56E+04,-3.51E+02,1.45E+05,M9 BM,M9 M10 +M12,ex vivo 5 min,M9,BM,2,luc,barcodes,d14,Female,,
Overlay,1.31E+04,4.12E+02,5.10E+02,-3.04E+02,3.03E+03,M9 Gut,M9 M10 +M12,ex vivo 5 min,M9,Gut,2,luc,barcodes,d14,Female,,
Overlay,2.20E+06,2.77E+04,8.13E+04,-2.61E+02,7.98E+05,M12 BM,M9 M10 +M12,ex vivo 5 min,M12,BM,2,luc,barcodes,d14,Female,,
Overlay,3.63E+05,5.64E+03,1.34E+04,-1.04E+02,1.14E+05,M10 BM,M9 M10 +M12,ex vivo 5 min,M10,BM,2,luc,barcodes,d14,Female,,
Overlay,5.86E+04,8.65E+02,1.71E+03,-3.97E+02,1.65E+04,M10 Gut,M9 M10 +M12,ex vivo 5 min,M10,Gut,2,luc,barcodes,d14,Female,,
Overlay,1.26E+05,2.84E+03,4.83E+03,-2.63E+02,2.40E+04,M12 Gut,M9 M10 +M12,ex vivo 5 min,M12,Gut,2,luc,barcodes,d14,Female,,
Overlay,2.33E+04,1.97E+02,2.08E+02,-4.31E+02,9.32E+02,Control2 BM,con M13 +M17,ex vivo 30 sec,Control2,BM,Con,NA,NA,NA,Female,,
Overlay,6.15E+03,1.38E+02,2.92E+02,-2.59E+02,3.84E+03,Control2 Gut,con M13 +M17,ex vivo 30 sec,Control2,Gut,Con,NA,NA,NA,Female,,
Overlay,3.70E+05,3.87E+03,8.55E+03,-4.46E+02,9.77E+04,M16 BM,con M13 +M17,ex vivo 30 sec,M16,BM,3,barcodes,luc,d14,Female,,
Overlay,4.14E+05,3.54E+03,1.35E+04,-2.66E+02,1.55E+05,M13 BM,con M13 +M17,ex vivo 30 sec,M13,BM,3,barcodes,luc,d14,Female,,
Overlay,8.28E+03,2.36E+02,4.45E+02,-5.54E+02,6.18E+03,M13 Gut,con M13 +M17,ex vivo 30 sec,M13,Gut,3,barcodes,luc,d14,Female,,
Overlay,2.20E+04,2.12E+02,2.33E+02,-3.89E+02,2.39E+03,M16 Gut,con M13 +M17,ex vivo 30 sec,M16,Gut,3,barcodes,luc,d14,Female,,
