Cell_number,Timepoint_hr,Barcode_ID,Infected,Parasite_burden
1,3,B1,1,2
2,3,B1,1,3
3,3,B1,1,2
4,3,B1,1,1
5,3,B1,1,1
6,3,B1,1,1
7,3,B1,1,1
8,3,B1,1,1
9,3,B1,1,2
10,3,B1,1,7
11,3,B1,1,4
12,3,B1,1,6
13,3,B1,1,1
14,3,B1,1,1
15,3,B1,1,2
16,3,B1,1,3
17,3,B1,1,5
18,3,B1,1,6
19,3,B1,1,5
20,3,B1,1,3
21,3,B1,1,4
22,3,B1,1,7
23,3,B1,1,3
24,3,B1,1,1
25,3,B1,1,2
26,3,B1,1,2
27,3,B1,1,1
28,3,B1,1,2
29,3,B1,1,3
30,3,B1,1,2
31,3,B1,1,2
32,3,B1,1,2
33,3,B1,1,1
34,3,B1,1,5
35,3,B1,1,3
36,3,B1,1,4
37,3,B1,1,1
38,3,B1,1,1
39,3,B1,1,7
40,3,B1,1,6
41,3,B1,1,4
42,3,B1,1,2
43,3,B1,1,1
44,3,B1,1,2
45,3,B1,1,8
46,3,B1,1,2
47,3,B1,1,4
48,3,B1,1,3
49,3,B1,1,5
50,3,B1,1,6
51,3,B1,1,4
52,3,B1,1,7
53,3,B1,1,5
54,3,B1,1,2
55,3,B1,1,2
56,3,B1,1,2
57,3,B1,1,5
58,3,B1,1,3
59,3,B1,1,2
60,3,B1,1,2
61,3,B1,1,4
62,3,B1,1,1
63,3,B1,1,1
64,3,B1,1,1
65,3,B1,1,1
66,3,B1,0,0
67,3,B1,0,0
68,3,B1,0,0
69,3,B1,0,0
70,3,B1,0,0
71,3,B1,0,0
72,3,B1,0,0
73,3,B1,0,0
74,3,B1,0,0
75,3,B1,0,0
76,3,B1,0,0
77,3,B1,0,0
78,3,B1,0,0
79,3,B1,0,0
80,3,B1,0,0
81,3,B1,0,0
82,3,B1,0,0
83,3,B1,0,0
84,3,B1,0,0
85,3,B1,0,0
86,3,B1,0,0
87,3,B1,0,0
88,3,B1,0,0
89,3,B1,0,0
90,3,B1,0,0
91,3,B1,0,0
92,3,B1,0,0
93,3,B1,0,0
94,3,B1,0,0
95,3,B1,0,0
96,3,B1,0,0
97,3,B1,0,0
98,3,B1,0,0
99,3,B1,0,0
100,3,B1,0,0
101,3,B2,1,3
102,3,B2,1,2
103,3,B2,1,2
104,3,B2,1,1
105,3,B2,1,2
106,3,B2,1,1
107,3,B2,1,3
108,3,B2,1,2
109,3,B2,1,5
110,3,B2,1,1
111,3,B2,1,2
112,3,B2,1,3
113,3,B2,1,4
114,3,B2,1,5
115,3,B2,1,3
116,3,B2,1,3
117,3,B2,1,4
118,3,B2,1,2
119,3,B2,1,4
120,3,B2,1,5
121,3,B2,1,4
122,3,B2,1,1
123,3,B2,1,2
124,3,B2,1,9
125,3,B2,1,3
126,3,B2,1,3
127,3,B2,1,12
128,3,B2,1,1
129,3,B2,1,4
130,3,B2,1,2
131,3,B2,1,2
132,3,B2,1,2
133,3,B2,1,1
134,3,B2,1,2
135,3,B2,1,1
136,3,B2,1,2
137,3,B2,1,1
138,3,B2,1,2
139,3,B2,1,2
140,3,B2,1,1
141,3,B2,1,1
142,3,B2,1,5
143,3,B2,1,2
144,3,B2,1,7
145,3,B2,1,1
146,3,B2,1,1
147,3,B2,1,2
148,3,B2,1,1
149,3,B2,1,1
150,3,B2,1,1
151,3,B2,0,0
152,3,B2,0,0
153,3,B2,0,0
154,3,B2,0,0
155,3,B2,0,0
156,3,B2,0,0
157,3,B2,0,0
158,3,B2,0,0
159,3,B2,0,0
160,3,B2,0,0
161,3,B2,0,0
162,3,B2,0,0
163,3,B2,0,0
164,3,B2,0,0
165,3,B2,0,0
166,3,B2,0,0
167,3,B2,0,0
168,3,B2,0,0
169,3,B2,0,0
170,3,B2,0,0
171,3,B2,0,0
172,3,B2,0,0
173,3,B2,0,0
174,3,B2,0,0
175,3,B2,0,0
176,3,B2,0,0
177,3,B2,0,0
178,3,B2,0,0
179,3,B2,0,0
180,3,B2,0,0
181,3,B2,0,0
182,3,B2,0,0
183,3,B2,0,0
184,3,B2,0,0
185,3,B2,0,0
186,3,B2,0,0
187,3,B2,0,0
188,3,B2,0,0
189,3,B2,0,0
190,3,B2,0,0
191,3,B2,0,0
192,3,B2,0,0
193,3,B2,0,0
194,3,B2,0,0
195,3,B2,0,0
196,3,B2,0,0
197,3,B2,0,0
198,3,B2,0,0
199,3,B2,0,0
200,3,B2,0,0
201,3,B3,1,1
202,3,B3,1,2
203,3,B3,1,2
204,3,B3,1,2
205,3,B3,1,2
206,3,B3,1,12
207,3,B3,1,1
208,3,B3,1,9
209,3,B3,1,4
210,3,B3,1,6
211,3,B3,1,2
212,3,B3,1,5
213,3,B3,1,3
214,3,B3,1,5
215,3,B3,1,8
216,3,B3,1,2
217,3,B3,1,5
218,3,B3,1,4
219,3,B3,1,5
220,3,B3,1,3
221,3,B3,1,4
222,3,B3,1,7
223,3,B3,1,3
224,3,B3,1,2
225,3,B3,1,4
226,3,B3,1,6
227,3,B3,1,4
228,3,B3,1,9
229,3,B3,1,8
230,3,B3,1,2
231,3,B3,1,1
232,3,B3,1,6
233,3,B3,1,1
234,3,B3,1,3
235,3,B3,1,5
236,3,B3,1,1
237,3,B3,1,1
238,3,B3,1,3
239,3,B3,1,1
240,3,B3,1,1
241,3,B3,1,2
242,3,B3,1,2
243,3,B3,1,3
244,3,B3,1,4
245,3,B3,1,4
246,3,B3,1,11
247,3,B3,1,3
248,3,B3,1,2
249,3,B3,1,7
250,3,B3,1,3
251,3,B3,1,2
252,3,B3,1,3
253,3,B3,1,1
254,3,B3,1,2
255,3,B3,1,3
256,3,B3,1,5
257,3,B3,1,6
258,3,B3,1,2
259,3,B3,1,6
260,3,B3,1,1
261,3,B3,1,3
262,3,B3,1,2
263,3,B3,1,3
264,3,B3,1,1
265,3,B3,1,1
266,3,B3,1,7
267,3,B3,1,3
268,3,B3,1,5
269,3,B3,1,1
270,3,B3,1,5
271,3,B3,1,1
272,3,B3,1,4
273,3,B3,1,4
274,3,B3,0,0
275,3,B3,0,0
276,3,B3,0,0
277,3,B3,0,0
278,3,B3,0,0
279,3,B3,0,0
280,3,B3,0,0
281,3,B3,0,0
282,3,B3,0,0
283,3,B3,0,0
284,3,B3,0,0
285,3,B3,0,0
286,3,B3,0,0
287,3,B3,0,0
288,3,B3,0,0
289,3,B3,0,0
290,3,B3,0,0
291,3,B3,0,0
292,3,B3,0,0
293,3,B3,0,0
294,3,B3,0,0
295,3,B3,0,0
296,3,B3,0,0
297,3,B3,0,0
298,3,B3,0,0
299,3,B3,0,0
300,3,B3,0,0
301,3,B4,1,4
302,3,B4,1,5
303,3,B4,1,2
304,3,B4,1,1
305,3,B4,1,4
306,3,B4,1,12
307,3,B4,1,1
308,3,B4,1,5
309,3,B4,1,7
310,3,B4,1,1
311,3,B4,1,4
312,3,B4,1,4
313,3,B4,1,3
314,3,B4,1,9
315,3,B4,1,6
316,3,B4,1,4
317,3,B4,1,1
318,3,B4,1,2
319,3,B4,1,2
320,3,B4,1,1
321,3,B4,1,2
322,3,B4,1,1
323,3,B4,1,2
324,3,B4,1,3
325,3,B4,1,1
326,3,B4,1,2
327,3,B4,1,6
328,3,B4,1,4
329,3,B4,1,2
330,3,B4,1,3
331,3,B4,1,4
332,3,B4,1,7
333,3,B4,1,2
334,3,B4,1,9
335,3,B4,1,12
336,3,B4,1,10
337,3,B4,1,2
338,3,B4,1,4
339,3,B4,1,8
340,3,B4,1,9
341,3,B4,1,2
342,3,B4,1,1
343,3,B4,1,1
344,3,B4,1,3
345,3,B4,1,1
346,3,B4,1,2
347,3,B4,1,3
348,3,B4,1,5
349,3,B4,1,1
350,3,B4,1,1
351,3,B4,1,3
352,3,B4,1,1
353,3,B4,1,1
354,3,B4,1,1
355,3,B4,1,3
356,3,B4,1,4
357,3,B4,1,2
358,3,B4,1,3
359,3,B4,1,6
360,3,B4,1,7
361,3,B4,1,2
362,3,B4,1,2
363,3,B4,0,0
364,3,B4,0,0
365,3,B4,0,0
366,3,B4,0,0
367,3,B4,0,0
368,3,B4,0,0
369,3,B4,0,0
370,3,B4,0,0
371,3,B4,0,0
372,3,B4,0,0
373,3,B4,0,0
374,3,B4,0,0
375,3,B4,0,0
376,3,B4,0,0
377,3,B4,0,0
378,3,B4,0,0
379,3,B4,0,0
380,3,B4,0,0
381,3,B4,0,0
382,3,B4,0,0
383,3,B4,0,0
384,3,B4,0,0
385,3,B4,0,0
386,3,B4,0,0
387,3,B4,0,0
388,3,B4,0,0
389,3,B4,0,0
390,3,B4,0,0
391,3,B4,0,0
392,3,B4,0,0
393,3,B4,0,0
394,3,B4,0,0
395,3,B4,0,0
396,3,B4,0,0
397,3,B4,0,0
398,3,B4,0,0
399,3,B4,0,0
400,3,B4,0,0
401,3,B5,1,1
402,3,B5,1,1
403,3,B5,1,4
404,3,B5,1,4
405,3,B5,1,5
406,3,B5,1,4
407,3,B5,1,4
408,3,B5,1,2
409,3,B5,1,3
410,3,B5,1,5
411,3,B5,1,3
412,3,B5,1,4
413,3,B5,1,7
414,3,B5,1,1
415,3,B5,1,9
416,3,B5,1,7
417,3,B5,1,6
418,3,B5,1,4
419,3,B5,1,4
420,3,B5,1,4
421,3,B5,1,2
422,3,B5,1,6
423,3,B5,1,3
424,3,B5,1,1
425,3,B5,1,5
426,3,B5,1,7
427,3,B5,1,7
428,3,B5,1,1
429,3,B5,1,7
430,3,B5,1,4
431,3,B5,1,6
432,3,B5,1,5
433,3,B5,1,3
434,3,B5,1,4
435,3,B5,1,5
436,3,B5,1,3
437,3,B5,1,2
438,3,B5,1,2
439,3,B5,1,9
440,3,B5,1,4
441,3,B5,1,6
442,3,B5,1,2
443,3,B5,1,5
444,3,B5,1,3
445,3,B5,1,4
446,3,B5,1,2
447,3,B5,1,1
448,3,B5,1,1
449,3,B5,1,1
450,3,B5,1,6
451,3,B5,1,4
452,3,B5,1,2
453,3,B5,1,2
454,3,B5,1,2
455,3,B5,1,1
456,3,B5,1,1
457,3,B5,1,2
458,3,B5,1,2
459,3,B5,1,1
460,3,B5,1,1
461,3,B5,1,3
462,3,B5,1,3
463,3,B5,1,1
464,3,B5,1,4
465,3,B5,0,0
466,3,B5,0,0
467,3,B5,0,0
468,3,B5,0,0
469,3,B5,0,0
470,3,B5,0,0
471,3,B5,0,0
472,3,B5,0,0
473,3,B5,0,0
474,3,B5,0,0
475,3,B5,0,0
476,3,B5,0,0
477,3,B5,0,0
478,3,B5,0,0
479,3,B5,0,0
480,3,B5,0,0
481,3,B5,0,0
482,3,B5,0,0
483,3,B5,0,0
484,3,B5,0,0
485,3,B5,0,0
486,3,B5,0,0
487,3,B5,0,0
488,3,B5,0,0
489,3,B5,0,0
490,3,B5,0,0
491,3,B5,0,0
492,3,B5,0,0
493,3,B5,0,0
494,3,B5,0,0
495,3,B5,0,0
496,3,B5,0,0
497,3,B5,0,0
498,3,B5,0,0
499,3,B5,0,0
500,3,B5,0,0
501,1,B1,1,3
502,1,B1,1,1
503,1,B1,1,2
504,1,B1,1,1
505,1,B1,1,1
506,1,B1,1,1
507,1,B1,1,1
508,1,B1,1,3
509,1,B1,1,1
510,1,B1,1,2
511,1,B1,1,1
512,1,B1,1,2
513,1,B1,1,3
