True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
7,10.75609756,50000000,10,0.0000001
4,6,50000000,10,0.0000001
8,6,50000000,10,0.0000001
7,10.75609756,50000000,10,0.0000001
2,2.25,50000000,10,0.0000001
1,1,50000000,10,0.0000001
7,5.444444444,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
2,2.25,50000000,10,0.0000001
5,2.647058824,50000000,10,0.0000001
4,3.272727273,50000000,10,0.0000001
5,9,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
9,5.651162791,50000000,10,0.0000001
6,3.115384615,50000000,10,0.0000001
5,5,50000000,10,0.0000001
8,36,50000000,10,0.0000001
4,3.272727273,50000000,10,0.0000001
6,5.0625,50000000,10,0.0000001
5,3.461538462,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
6,13.5,50000000,10,0.0000001
1,1,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
5,3.461538462,50000000,10,0.0000001
5,9,50000000,10,0.0000001
8,7.578947368,50000000,10,0.0000001
4,6,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
2,2.25,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
4,6,50000000,10,0.0000001
5,5,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
8,10.28571429,50000000,10,0.0000001
4,6,50000000,10,0.0000001
7,7.229508197,50000000,10,0.0000001
4,6,50000000,10,0.0000001
5,9,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
5,5,50000000,10,0.0000001
7,7.229508197,50000000,10,0.0000001
11,8.441860465,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
4,6,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
5,5,50000000,10,0.0000001
7,7.229508197,50000000,10,0.0000001
5,9,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
8,4.965517241,50000000,10,0.0000001
6,3.115384615,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
5,2.647058824,50000000,10,0.0000001
6,3.115384615,50000000,10,0.0000001
7,10.75609756,50000000,10,0.0000001
2,2.25,50000000,10,0.0000001
4,6,50000000,10,0.0000001
4,3.272727273,50000000,10,0.0000001
5,5,50000000,10,0.0000001
6,3.857142857,50000000,10,0.0000001
4,6,50000000,10,0.0000001
6,5.0625,50000000,10,0.0000001
5,5,50000000,10,0.0000001
6,3.857142857,50000000,10,0.0000001
4,6,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
7,5.444444444,50000000,10,0.0000001
5,9,50000000,10,0.0000001
5,2.647058824,50000000,10,0.0000001
5,5,50000000,10,0.0000001
8,7.578947368,50000000,10,0.0000001
9,14.87755102,50000000,10,0.0000001
4,3.272727273,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
7,7.229508197,50000000,10,0.0000001
2,2.25,50000000,10,0.0000001
4,6,50000000,10,0.0000001
4,6,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
1,1,50000000,10,0.0000001
4,6,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
4,6,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
5,9,50000000,10,0.0000001
5,9,50000000,10,0.0000001
5,9,50000000,10,0.0000001
5,5,50000000,10,0.0000001
5,5,50000000,10,0.0000001
4,6,50000000,10,0.0000001
5,9,50000000,10,0.0000001
6,7.363636364,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
1,1,50000000,10,0.0000001
3,3.857142857,50000000,10,0.0000001
2,1,50000000,10,0.0000001
7,7.106870229,50000000,20,0.0000001
4,4.75,50000000,20,0.0000001
4,4.75,50000000,20,0.0000001
4,4.75,50000000,20,0.0000001
3,1.879120879,50000000,20,0.0000001
2,2.111111111,50000000,20,0.0000001
7,10.23076923,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
6,8.142857143,50000000,20,0.0000001
9,7.02739726,50000000,20,0.0000001
4,2.923076923,50000000,20,0.0000001
0,,50000000,20,0.0000001
1,1,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
4,2.923076923,50000000,20,0.0000001
2,2.111111111,50000000,20,0.0000001
4,4.75,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
11,7.688963211,50000000,20,0.0000001
5,4.130434783,50000000,20,0.0000001
9,7.02739726,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
6,4.170731707,50000000,20,0.0000001
6,3.352941176,50000000,20,0.0000001
4,4.75,50000000,20,0.0000001
3,1,50000000,20,0.0000001
1,1,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
2,2.111111111,50000000,20,0.0000001
4,2.923076923,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
4,4.75,50000000,20,0.0000001
6,5.516129032,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
7,7.106870229,50000000,20,0.0000001
7,10.23076923,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
2,2.111111111,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
8,12.66666667,50000000,20,0.0000001
9,7.02739726,50000000,20,0.0000001
4,4.75,50000000,20,0.0000001
6,4.170731707,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
4,2.923076923,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
0,,50000000,20,0.0000001
5,4.130434783,50000000,20,0.0000001
2,2.111111111,50000000,20,0.0000001
3,3.352941176,50000000,20,0.0000001
2,2.111111111,50000000,20,0.0000001
1,1,50000000,20,0.0000001
6,3.352941176,50000000,20,0.0000001
5,6.333333333,50000000,20,0.0000001
