True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
7.024258293,11.00781095,50000000,10,0.0000001
4.006483134,5.996794146,50000000,10,0.0000001
8.117848541,6.07288202,50000000,10,0.0000001
6.883064859,11.08753168,50000000,10,0.0000001
1.965348299,2.249946484,50000000,10,0.0000001
0.988122629,1,50000000,10,0.0000001
7.078858814,5.15981708,50000000,10,0.0000001
6.047178488,7.306401948,50000000,10,0.0000001
5.971689251,7.374711905,50000000,10,0.0000001
3.048080699,3.854815919,50000000,10,0.0000001
1.956196228,2.249471863,50000000,10,0.0000001
5.131094579,2.574533709,50000000,10,0.0000001
4.10473427,3.208021607,50000000,10,0.0000001
5.040693315,8.991855373,50000000,10,0.0000001
6.053914831,7.337496947,50000000,10,0.0000001
9.101279369,5.416503419,50000000,10,0.0000001
5.947793425,3.068446748,50000000,10,0.0000001
4.950072787,5.072727344,50000000,10,0.0000001
8.088551948,35.94651246,50000000,10,0.0000001
3.923033868,3.27383822,50000000,10,0.0000001
6.113624438,4.941383471,50000000,10,0.0000001
5.144284349,3.464354021,50000000,10,0.0000001
3.019552477,3.856347473,50000000,10,0.0000001
6.012332021,13.45480666,50000000,10,0.0000001
1.018831485,1,50000000,10,0.0000001
5.966364688,7.466829517,50000000,10,0.0000001
5.095065768,3.449078693,50000000,10,0.0000001
5.056167918,8.996571788,50000000,10,0.0000001
8.005693972,7.809394352,50000000,10,0.0000001
3.997407205,5.986047764,50000000,10,0.0000001
2.954105352,3.852567457,50000000,10,0.0000001
2.040439547,2.249573245,50000000,10,0.0000001
6.028112024,7.120852063,50000000,10,0.0000001
3.954099482,5.99718411,50000000,10,0.0000001
5.017790574,4.898706552,50000000,10,0.0000001
2.933119256,3.855555187,50000000,10,0.0000001
8.044172023,10.2312511,50000000,10,0.0000001
3.98857465,5.991714965,50000000,10,0.0000001
6.860032525,7.346438079,50000000,10,0.0000001
4.061048161,5.985342782,50000000,10,0.0000001
5.036000438,8.998568736,50000000,10,0.0000001
2.970466978,3.849365945,50000000,10,0.0000001
5.10096821,4.922577033,50000000,10,0.0000001
6.787631638,7.330663828,50000000,10,0.0000001
11.03853843,8.266517663,50000000,10,0.0000001
3.045073049,3.850834169,50000000,10,0.0000001
3.924587112,5.995373553,50000000,10,0.0000001
2.984469298,3.853805759,50000000,10,0.0000001
4.918288897,5.001937983,50000000,10,0.0000001
7.14008606,7.114067239,50000000,10,0.0000001
4.95429798,8.993285014,50000000,10,0.0000001
3.02541359,3.850850798,50000000,10,0.0000001
7.90878658,4.96964173,50000000,10,0.0000001
6.121380162,3.076352497,50000000,10,0.0000001
3.043634864,3.847540746,50000000,10,0.0000001
5.038125309,2.564621753,50000000,10,0.0000001
5.781242927,3.152731036,50000000,10,0.0000001
6.991611319,10.69734722,50000000,10,0.0000001
1.975265722,2.248680415,50000000,10,0.0000001
4.131510828,5.997579161,50000000,10,0.0000001
4.035972135,3.275385495,50000000,10,0.0000001
5.040279161,5.051261313,50000000,10,0.0000001
5.968353545,3.837253534,50000000,10,0.0000001
3.949659219,5.99933158,50000000,10,0.0000001
6.097859939,5.156178738,50000000,10,0.0000001
4.998770092,5.001955049,50000000,10,0.0000001
6.13278832,3.726321721,50000000,10,0.0000001
3.923684787,5.996512665,50000000,10,0.0000001
5.985876895,7.666697634,50000000,10,0.0000001
6.021989975,7.088226103,50000000,10,0.0000001
6.900951309,5.48470725,50000000,10,0.0000001
5.010696705,8.993450494,50000000,10,0.0000001
5.088360887,2.680916066,50000000,10,0.0000001
4.973054196,5.10865313,50000000,10,0.0000001
8.003357206,7.20243877,50000000,10,0.0000001
9.059364394,14.81299429,50000000,10,0.0000001
3.977778283,3.357667003,50000000,10,0.0000001
5.864446257,7.402209878,50000000,10,0.0000001
7.117272271,7.321436692,50000000,10,0.0000001
1.918989026,2.249941924,50000000,10,0.0000001
3.99162247,5.988541087,50000000,10,0.0000001
4.002434739,5.996907171,50000000,10,0.0000001
3.0973376,3.856474569,50000000,10,0.0000001
0.967517787,1,50000000,10,0.0000001
3.973952718,5.991518426,50000000,10,0.0000001
2.929871135,3.855426356,50000000,10,0.0000001
4.059520636,5.992481374,50000000,10,0.0000001
3.030727727,3.850562636,50000000,10,0.0000001
5.034841329,8.979863528,50000000,10,0.0000001
4.845362736,8.998513584,50000000,10,0.0000001
5.11393748,8.991321434,50000000,10,0.0000001
5.039023557,4.940293114,50000000,10,0.0000001
4.915754366,5.12798445,50000000,10,0.0000001
4.064770621,5.995951149,50000000,10,0.0000001
4.982220359,8.983975626,50000000,10,0.0000001
5.865677035,7.516684323,50000000,10,0.0000001
2.987916402,3.851529058,50000000,10,0.0000001
0.956044708,1,50000000,10,0.0000001
2.944502702,3.851635037,50000000,10,0.0000001
1.951053394,1,50000000,10,0.0000001
7.000130048,6.89344032,50000000,20,0.0000001
3.908630471,4.743385704,50000000,20,0.0000001
3.906362027,4.74618035,50000000,20,0.0000001
4.123633217,4.749444671,50000000,20,0.0000001
3.060629226,1.891652108,50000000,20,0.0000001
1.996546591,2.110833884,50000000,20,0.0000001
6.857699333,10.22146086,50000000,20,0.0000001
2.987044196,3.347223154,50000000,20,0.0000001
6.051642552,8.138239429,50000000,20,0.0000001
8.785784512,7.099322585,50000000,20,0.0000001
4.083859673,2.925786415,50000000,20,0.0000001
0,,50000000,20,0.0000001
1.04617154,1,50000000,20,0.0000001
2.951720157,3.350820784,50000000,20,0.0000001
3.944312718,2.965632854,50000000,20,0.0000001
1.994831183,2.108170125,50000000,20,0.0000001
4.035590835,4.745567752,50000000,20,0.0000001
5.066490355,6.325983224,50000000,20,0.0000001
10.87356649,7.727955569,50000000,20,0.0000001
5.002354212,4.143699457,50000000,20,0.0000001
9.052801688,6.731089971,50000000,20,0.0000001
2.912049621,3.352645223,50000000,20,0.0000001
6.002361518,4.201613439,50000000,20,0.0000001
5.84432743,3.431061678,50000000,20,0.0000001
3.991731363,4.746840361,50000000,20,0.0000001
2.937097477,1,50000000,20,0.0000001
1.021122728,1,50000000,20,0.0000001
2.954662576,3.351127995,50000000,20,0.0000001
1.967035664,2.111101972,50000000,20,0.0000001
3.895877195,2.918445437,50000000,20,0.0000001
5.043632422,6.32922731,50000000,20,0.0000001
4.087217166,4.74956847,50000000,20,0.0000001
5.840759604,5.559132388,50000000,20,0.0000001
3.042626429,3.350594869,50000000,20,0.0000001
7.086377058,7.053056242,50000000,20,0.0000001
7.071909624,10.22281774,50000000,20,0.0000001
3.013985417,3.349226175,50000000,20,0.0000001
1.950954355,2.109774575,50000000,20,0.0000001
4.9300056,6.325880088,50000000,20,0.0000001
7.944082247,12.64562775,50000000,20,0.0000001
8.740853134,7.030458493,50000000,20,0.0000001
3.968506401,4.747255129,50000000,20,0.0000001
6.041210415,4.210382556,50000000,20,0.0000001
4.9848031,6.323557912,50000000,20,0.0000001
3.940173406,2.932707375,50000000,20,0.0000001
4.985018445,6.320892404,50000000,20,0.0000001
0,,50000000,20,0.0000001
5.04017361,4.094889327,50000000,20,0.0000001
1.981942141,2.111088208,50000000,20,0.0000001
3.058803858,3.350046411,50000000,20,0.0000001
2.018455431,2.111108826,50000000,20,0.0000001
0.959976807,1,50000000,20,0.0000001
6.198758938,2.06559054,50000000,20,0.0000001
4.979055045,6.327198866,50000000,20,0.0000001
7.925368042,9.036218604,50000000,20,0.0000001
8.007260121,9.095456573,50000000,20,0.0000001
8.040977699,12.643617,50000000,20,0.0000001
4.85581551,4.188438938,50000000,20,0.0000001
2.010412108,2.110532445,50000000,20,0.0000001
