True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
6.862072776,11.06491465,50000000,10,0.0000001
3.975137738,5.99176511,50000000,10,0.0000001
7.978092656,6.165436404,50000000,10,0.0000001
6.976378495,10.71246327,50000000,10,0.0000001
1.920234469,2.249773335,50000000,10,0.0000001
1.0184989,1,50000000,10,0.0000001
6.986636314,5.40388,50000000,10,0.0000001
5.887689457,7.554820444,50000000,10,0.0000001
5.919413671,7.329409064,50000000,10,0.0000001
2.954772631,3.850183354,50000000,10,0.0000001
1.979499728,2.247137788,50000000,10,0.0000001
5.076487705,2.616244461,50000000,10,0.0000001
3.938339834,3.334084561,50000000,10,0.0000001
4.979957874,8.968530056,50000000,10,0.0000001
6.032878688,7.5528267,50000000,10,0.0000001
9.037363393,5.563444921,50000000,10,0.0000001
6.151187064,3.054661697,50000000,10,0.0000001
4.894536856,5.034597668,50000000,10,0.0000001
7.958970153,35.81999461,50000000,10,0.0000001
4.05259779,3.203488139,50000000,10,0.0000001
5.877618716,5.197802075,50000000,10,0.0000001
5.005911698,3.461949285,50000000,10,0.0000001
3.091354945,3.85645061,50000000,10,0.0000001
6.025401087,13.48024329,50000000,10,0.0000001
0.981181257,1,50000000,10,0.0000001
5.98168314,7.301636841,50000000,10,0.0000001
5.158675934,3.452390184,50000000,10,0.0000001
5.0107088,8.983511013,50000000,10,0.0000001
7.857323416,7.856464716,50000000,10,0.0000001
4.070102627,5.993992997,50000000,10,0.0000001
2.976298306,3.84881769,50000000,10,0.0000001
2.031791341,2.249964295,50000000,10,0.0000001
6.002396678,7.43929979,50000000,10,0.0000001
4.067220445,5.99301309,50000000,10,0.0000001
4.928836267,5.127977761,50000000,10,0.0000001
3.021023255,3.849987162,50000000,10,0.0000001
7.917888702,10.00679012,50000000,10,0.0000001
4.024814554,5.998273582,50000000,10,0.0000001
7.041035936,7.31655934,50000000,10,0.0000001
4.082087002,5.997530302,50000000,10,0.0000001
4.867874999,8.983748093,50000000,10,0.0000001
3.060195556,3.85153521,50000000,10,0.0000001
4.953747521,4.83424604,50000000,10,0.0000001
7.081066637,7.324236826,50000000,10,0.0000001
11.04263243,8.388284909,50000000,10,0.0000001
3.009184517,3.855972185,50000000,10,0.0000001
4.090882287,5.999199456,50000000,10,0.0000001
3.026691396,3.852069108,50000000,10,0.0000001
4.960975217,5.032716446,50000000,10,0.0000001
7.163009918,7.118229134,50000000,10,0.0000001
5.012774221,8.981494086,50000000,10,0.0000001
2.974599445,3.851677341,50000000,10,0.0000001
7.931019772,5.034898543,50000000,10,0.0000001
6.122559281,3.088948676,50000000,10,0.0000001
3.056898723,3.85332704,50000000,10,0.0000001
5.114305877,2.600998257,50000000,10,0.0000001
5.963458287,3.114526371,50000000,10,0.0000001
7.013358887,10.54139251,50000000,10,0.0000001
2.035808706,2.248781577,50000000,10,0.0000001
3.989247152,5.997871024,50000000,10,0.0000001
3.932975881,3.309725093,50000000,10,0.0000001
4.912791363,5.137218648,50000000,10,0.0000001
5.968957716,3.819773542,50000000,10,0.0000001
4.051089953,5.995895891,50000000,10,0.0000001
6.092643121,5.053998998,50000000,10,0.0000001
4.831211121,5.028871886,50000000,10,0.0000001
6.132096054,3.790212333,50000000,10,0.0000001
3.924220084,5.998492418,50000000,10,0.0000001
6.033263732,7.179420487,50000000,10,0.0000001
6.03055278,7.108685388,50000000,10,0.0000001
6.922067905,5.515027298,50000000,10,0.0000001
5.022220497,8.980781951,50000000,10,0.0000001
4.914802086,2.757674336,50000000,10,0.0000001
4.876239838,5.095412109,50000000,10,0.0000001
8.08783091,7.622100021,50000000,10,0.0000001
8.897432662,15.27824232,50000000,10,0.0000001
3.982021084,3.269284327,50000000,10,0.0000001
6.050850753,7.206035508,50000000,10,0.0000001
7.054512422,7.268844601,50000000,10,0.0000001
1.910959376,2.249999953,50000000,10,0.0000001
4.062231955,5.987233532,50000000,10,0.0000001
4.048872492,5.996627552,50000000,10,0.0000001
2.985853355,3.850648592,50000000,10,0.0000001
0.950492927,1,50000000,10,0.0000001
3.913905777,5.991609204,50000000,10,0.0000001
2.938888015,3.855701355,50000000,10,0.0000001
3.951543677,5.994185397,50000000,10,0.0000001
3.010453499,3.854921102,50000000,10,0.0000001
4.918231651,8.996623218,50000000,10,0.0000001
4.919668292,8.977864135,50000000,10,0.0000001
5.087631993,8.979073491,50000000,10,0.0000001
5.138652627,4.954011123,50000000,10,0.0000001
5.082316426,5.071427974,50000000,10,0.0000001
4.019304995,5.994618696,50000000,10,0.0000001
5.018388175,8.981651809,50000000,10,0.0000001
6.011607003,7.671929646,50000000,10,0.0000001
2.922863582,3.85564533,50000000,10,0.0000001
1.02491761,1,50000000,10,0.0000001
3.027051723,3.852648122,50000000,10,0.0000001
1.969223379,1,50000000,10,0.0000001
7.129124874,7.056095926,50000000,20,0.0000001
4.03474128,4.747758795,50000000,20,0.0000001
3.976608527,4.743724633,50000000,20,0.0000001
3.887594089,4.747955694,50000000,20,0.0000001
2.909391906,1.903250789,50000000,20,0.0000001
2.042232968,2.111102144,50000000,20,0.0000001
7.112790698,10.2186628,50000000,20,0.0000001
2.980798371,3.34997434,50000000,20,0.0000001
5.823327571,8.14057968,50000000,20,0.0000001
8.992379153,7.007052011,50000000,20,0.0000001
3.974337313,2.92049035,50000000,20,0.0000001
0,,50000000,20,0.0000001
1.022374068,1,50000000,20,0.0000001
2.946863623,3.352170795,50000000,20,0.0000001
4.09245989,2.912233462,50000000,20,0.0000001
1.973607526,2.111104333,50000000,20,0.0000001
3.998702363,4.74660564,50000000,20,0.0000001
4.968213362,6.324159693,50000000,20,0.0000001
11.02412294,7.849439871,50000000,20,0.0000001
5.058648289,4.043480214,50000000,20,0.0000001
9.123826152,6.837189686,50000000,20,0.0000001
2.961086788,3.346484471,50000000,20,0.0000001
6.024595167,4.156533794,50000000,20,0.0000001
5.836294991,3.429934664,50000000,20,0.0000001
4.032923574,4.745977978,50000000,20,0.0000001
3.070977575,1,50000000,20,0.0000001
0.96031364,1,50000000,20,0.0000001
3.022368018,3.348286346,50000000,20,0.0000001
2.054738653,2.110849115,50000000,20,0.0000001
4.137111773,2.938445318,50000000,20,0.0000001
5.076730998,6.330903749,50000000,20,0.0000001
3.938941408,4.746668285,50000000,20,0.0000001
6.097176505,5.397491758,50000000,20,0.0000001
2.987878274,3.35071779,50000000,20,0.0000001
7.087757168,7.075346845,50000000,20,0.0000001
7.075940293,10.21911098,50000000,20,0.0000001
3.084844262,3.351254898,50000000,20,0.0000001
2.043002179,2.111111096,50000000,20,0.0000001
5.03333645,6.327258857,50000000,20,0.0000001
7.904531729,12.65291005,50000000,20,0.0000001
9.133994167,7.044476258,50000000,20,0.0000001
3.967488416,4.747192913,50000000,20,0.0000001
5.960681036,4.185886292,50000000,20,0.0000001
5.033771447,6.325121488,50000000,20,0.0000001
3.937821538,2.95491178,50000000,20,0.0000001
4.994020417,6.327346616,50000000,20,0.0000001
0,,50000000,20,0.0000001
4.943677426,4.204675151,50000000,20,0.0000001
1.96484949,2.110661906,50000000,20,0.0000001
3.096609302,3.351904763,50000000,20,0.0000001
1.965426157,2.110528708,50000000,20,0.0000001
1.026598928,1,50000000,20,0.0000001
6.009116274,3.376237874,50000000,20,0.0000001
5.094130831,6.331304736,50000000,20,0.0000001
8.176197875,9.061776601,50000000,20,0.0000001
7.961250966,8.901424776,50000000,20,0.0000001
8.082717382,12.66231075,50000000,20,0.0000001
5.029024924,4.162569225,50000000,20,0.0000001
2.03619372,2.109162644,50000000,20,0.0000001
5.072031548,4.099456447,50000000,20,0.0000001
4.06046302,4.743928143,50000000,20,0.0000001
2.98460999,3.347513071,50000000,20,0.0000001
0,,50000000,20,0.0000001
1.981636376,2.109994114,50000000,20,0.0000001
6.03642489,8.133736065,50000000,20,0.0000001
6.977501952,10.21509503,50000000,20,0.0000001
