"","matched","unmatched","canonical"
"INPUT1A_90_2.txt",2135312,67332,2111381
"INPUT1B_90_2.txt",2458201,77135,2427322
"INPUT1C_90_2.txt",1591653,50771,1573425
"INPUT2A_90_2.txt",2399792,82473,2367672
"INPUT2B_90_2.txt",2481857,83338,2447308
"INPUT2C_90_2.txt",1900351,64607,1876823
"M10BM1_90_2.txt",1112419,37728,1101559
"M10BM2_90_2.txt",898445,30283,896806
"M10GUT_90_2.txt",1027680,32143,1019682
"M10L_90_2.txt",1541774,50765,1522458
"M10LN1_90_2.txt",163935,5256,163284
"M10LN2_90_2.txt",999061,33660,992264
"M10LUNG_90_2.txt",1533650,72905,1438718
"M10S_90_2.txt",1399725,45056,1386550
"M11BM1_90_2.txt",1764976,59390,1745831
"M11BM2_90_2.txt",2024963,65336,2001962
"M11GUT_90_2.txt",2049,65,1909
"M11L_90_2.txt",1279871,42822,1258867
"M11LN1_90_2.txt",829075,27138,814195
"M11LN2_90_2.txt",991331,31741,976170
"M11LUNG_90_2.txt",983293,33037,945797
"M11S_90_2.txt",1070365,34553,1060518
"M12BM1_90_2.txt",1549065,52386,1532054
"M12BM2_90_2.txt",1769933,57997,1752155
"M12GUT_90_2.txt",5243,182,5017
"M12L_90_2.txt",1560178,50460,1544849
"M12LN1_90_2.txt",1074797,38065,1035781
"M12LN2_90_2.txt",919693,29105,878712
"M12LUNG_90_2.txt",2017613,84755,1950107
"M12S_90_2.txt",14106,410,13716
"M12SKIN1_90_2.txt",2045547,69977,2022167
"M12SKIN10_90_2.txt",942016,35256,924745
"M12SKIN11_90_2.txt",1123552,38671,1085893
"M12SKIN12_90_2.txt",1392305,47511,1327290
"M12SKIN2_90_2.txt",1732254,65306,1697477
"M12SKIN3_90_2.txt",1515704,57923,1466936
"M12SKIN4_90_2.txt",995946,34435,993492
"M12SKIN5_90_2.txt",1406872,57457,1382729
"M12SKIN6_90_2.txt",1642719,55175,1616450
"M12SKIN7_90_2.txt",1101587,40888,1097701
"M12SKIN8_90_2.txt",1124808,37466,1069427
"M12SKIN9_90_2.txt",1016481,36101,1011073
"M13BM1_90_2.txt",3060,96,2645
"M13BM2_90_2.txt",2121702,70932,2098070
"M13GUT_90_2.txt",467662,14723,466564
"M13L_90_2.txt",1012081,32827,1003142
"M13LN1_90_2.txt",934532,32073,932697
"M13LN2_90_2.txt",1054031,35209,1049203
